;******** project props
sign_noblock,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_noenter,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_nofeed,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_nopark,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_notrucks,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_park,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_pier,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_rail,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_right1,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_right2,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_right3,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_right4,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_speed15,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_speed25,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_speed35,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_speed55,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_speed75,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_speedbump,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_staylane,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_stop,		    30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
sign_tractor,		30.0,		50.0   		0.99,		0.05,		50.0,		1000.0,  1.0,	200,	1,	1,	0,	0,	0.0, 0.0, 0.0,		none			50.0, 	0.0, 	0.0, 	0.1, 	0.07,	1,	0
rub_bike1,		    30.0,		100.0		0.99,		0.05,		50.0,		1000.0,  2.0,	0,	0,	1,	0,	0,	0.0, 0.0, 0.0,		none		   
rub_bike2,		    30.0,		100.0		0.99,		0.05,		50.0,		1000.0,  2.0,	0,	0,	1,	0,	0,	0.0, 0.0, 0.0,		none		   
rub_monitor,		40.0,		100.0		0.99,		0.05,		50.0,		1000.0,  2.0,	0,	0,	1,	0,	0,	0.0, 0.0, 0.0,		none		   
* end file
